owner_known,business_purpose_known,internet_exposed,external_integration_count,unapproved_integration_count,uses_api_key,connector_count,external_domain_count,changes_last_24h,expected_anomaly
1,1,0,0,0,1,2,0,0,0
0,0,1,6,6,0,7,5,3,1
1,1,0,1,0,0,1,0,0,0
1,1,0,1,0,1,3,0,0,0
1,1,0,0,0,1,1,0,0,0
1,0,0,2,1,1,9,4,8,1
1,1,0,0,0,0,2,1,0,0
1,1,0,0,0,0,2,0,0,0
1,1,0,0,0,0,3,0,0,0
1,0,1,4,4,1,7,5,9,1
0,0,1,5,1,1,4,6,5,1
1,1,0,0,0,0,3,0,0,0
1,1,0,0,0,0,2,0,2,0
0,0,1,6,5,1,8,6,6,1
1,1,0,1,0,0,1,0,0,0
1,1,0,1,0,0,2,0,0,0
1,1,0,2,0,0,2,1,0,0
1,1,1,3,1,1,5,2,4,1
1,0,1,6,6,1,8,4,6,1
1,1,1,1,0,0,2,1,1,0
1,1,0,0,0,1,3,0,1,0
1,1,1,0,0,0,2,1,1,0
1,1,0,0,0,0,3,1,0,0
1,1,0,0,0,0,1,1,1,0
1,1,0,1,0,0,1,1,0,0
1,1,0,0,0,0,4,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,1,0,0,1,0,1,0
1,1,1,1,0,0,1,0,1,0
1,1,0,2,0,1,2,0,0,0
1,1,0,0,0,0,2,1,0,0
0,0,0,5,4,1,5,5,3,1
0,0,0,4,1,1,7,4,6,1
1,1,0,0,0,0,2,0,0,0
1,1,0,1,0,1,3,0,1,0
1,1,0,0,0,0,2,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,0,0
1,1,0,2,0,0,1,1,1,0
1,1,0,0,0,1,3,1,0,0
1,1,1,0,0,1,2,0,0,0
1,1,0,0,0,1,1,2,0,0
1,1,0,0,0,0,2,1,1,0
1,1,0,0,0,0,2,0,0,0
1,1,0,1,0,0,3,1,2,0
1,1,0,0,0,1,1,1,0,0
1,1,0,2,0,0,2,2,0,0
1,1,0,0,0,0,2,0,0,0
1,1,0,1,0,0,1,1,0,0
1,1,0,0,0,1,4,1,1,0
1,1,0,0,0,0,3,0,0,0
1,1,0,0,0,0,1,0,2,0
1,1,0,0,0,0,1,2,0,0
1,1,0,0,0,0,4,2,0,0
0,0,0,4,4,1,7,6,5,1
1,1,0,0,0,1,1,1,0,0
1,1,1,0,0,0,2,0,0,0
0,0,0,4,3,0,8,4,6,1
1,1,0,0,0,0,3,0,1,0
1,1,0,1,0,0,3,0,1,0
1,1,0,1,0,0,2,1,1,0
1,1,0,1,0,0,3,0,0,0
0,1,1,3,1,0,6,3,3,1
1,1,0,0,0,0,2,0,0,0
1,1,0,0,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,0
1,1,0,0,0,1,1,0,1,0
1,1,0,0,0,0,3,1,0,0
1,1,0,1,0,0,2,1,2,0
1,0,0,1,0,1,1,0,0,0
1,1,0,0,0,0,3,0,1,0
1,1,0,0,0,0,2,1,0,0
1,1,0,1,0,0,3,0,1,0
1,1,0,1,0,0,1,0,0,0
1,1,0,1,0,0,1,1,0,0
1,1,0,1,0,0,2,0,0,0
1,1,0,2,0,0,2,1,0,0
1,1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,3,0,0,0
1,1,0,1,0,0,3,0,0,0
1,1,0,0,0,1,3,0,0,0
1,1,0,0,0,0,1,1,1,0
1,0,0,2,0,0,1,1,0,0
1,1,0,0,0,0,2,0,0,0
1,1,0,1,0,0,2,0,0,0
1,1,0,1,0,0,1,0,0,0
1,1,0,1,0,0,2,0,0,0
1,1,0,1,0,0,2,0,0,0
1,1,0,0,0,0,1,1,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,2,0,0,1,0,0,0
1,1,0,0,0,0,3,0,0,0
0,0,0,6,2,1,7,3,11,1
0,0,1,5,3,0,6,2,9,1
0,0,1,5,3,1,4,4,8,1
1,0,0,5,2,1,8,5,10,1
1,1,1,1,0,0,1,1,1,0
1,1,0,1,0,0,2,2,0,0
0,0,1,6,1,1,7,5,4,1
1,1,0,0,0,0,2,0,0,0
1,1,1,0,0,0,1,1,0,0
1,1,0,1,0,0,2,2,1,0
1,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,2,1,0,0
1,1,0,1,0,0,2,0,1,0
1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,0,2,2,0,0
1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0
0,1,1,2,2,1,4,2,10,1
1,1,1,0,0,0,2,2,0,0
1,1,1,0,0,0,2,2,0,0
1,1,0,0,0,0,3,0,0,0
0,1,0,1,0,0,3,0,0,0
1,1,0,2,0,0,2,0,0,0
1,1,0,0,0,0,4,0,0,0
1,1,0,0,0,0,2,1,0,0
1,1,0,0,0,1,2,1,1,0
1,1,0,1,0,0,2,1,0,0
1,0,0,1,0,1,2,1,0,0
1,1,0,0,0,0,4,0,0,0
1,1,0,0,0,0,3,0,0,0
1,1,0,0,0,0,3,0,0,0
0,1,1,5,2,1,7,4,6,1
1,1,0,1,0,1,2,2,2,0
1,1,0,1,0,0,1,1,0,0
1,1,1,0,0,0,1,0,2,0
1,1,1,1,0,0,3,0,0,0
1,1,0,1,0,0,2,1,0,0
1,1,0,0,0,0,1,1,0,0
1,1,1,2,0,0,2,0,2,0
1,1,0,0,0,0,2,0,0,0
1,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,2,0,0,0
1,1,1,1,0,0,3,1,1,0
1,1,0,1,0,1,1,0,0,0
1,1,0,1,0,0,3,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,2,0,0,2,0,0,0
1,0,0,1,0,1,3,0,0,0
1,1,1,0,0,0,1,0,0,0
1,1,1,2,0,0,1,1,0,0
1,1,1,0,0,0,2,1,0,0
1,1,0,0,0,0,3,0,1,0
1,1,0,0,0,0,3,0,1,0
1,1,0,0,0,0,3,0,0,0
1,1,0,0,0,0,1,1,2,0
0,1,0,3,2,0,8,3,10,1
1,1,0,0,0,0,1,1,0,0
1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,3,1,1,0
0,0,1,4,2,0,8,5,3,1
1,0,0,0,0,1,2,2,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,2,0,0,0
1,1,0,1,0,1,4,1,1,0
0,0,1,5,1,1,9,3,10,1
1,1,0,2,0,0,1,0,0,0
0,1,1,4,3,0,5,3,4,1
1,1,0,0,0,1,1,1,0,0
1,1,0,0,0,0,1,1,0,0
1,1,0,0,0,0,1,0,0,0
0,0,0,5,3,0,5,3,7,1
1,1,0,0,0,0,2,0,0,0
1,0,1,0,0,0,1,1,0,0
1,1,0,0,0,0,1,0,0,0
1,1,1,2,0,0,3,2,0,0
0,1,0,0,0,0,2,0,0,0
1,1,0,0,0,0,1,1,1,0
1,1,0,0,0,0,1,0,1,0
1,1,0,1,0,0,1,1,0,0
1,1,0,1,0,0,3,1,0,0
1,1,1,0,0,1,3,0,0,0
1,1,0,1,0,0,1,2,0,0
0,0,1,6,2,1,4,3,4,1
1,1,0,0,0,0,2,1,2,0
1,1,0,0,0,0,2,1,0,0
1,1,0,2,0,0,2,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,0,2,1,0,0
1,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,3,1,0,0
1,1,0,1,0,0,2,1,1,0
1,1,0,0,0,0,2,0,1,0
1,1,0,0,0,1,2,0,0,0
1,1,0,0,0,0,2,0,1,0
1,1,0,1,0,0,2,0,0,0
1,1,1,0,0,1,2,0,1,0
1,1,0,0,0,0,2,1,0,0
0,0,1,4,3,0,9,4,4,1
1,1,0,0,0,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0
1,1,0,6,6,0,4,6,9,1
1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,2,1,0,0
1,1,0,1,0,0,4,0,0,0
0,1,1,2,1,1,8,3,9,1
1,1,1,0,0,1,2,0,0,0
0,0,1,3,3,1,7,6,6,1
0,1,0,5,1,0,9,3,8,1
1,1,0,1,0,1,1,0,0,0
1,1,0,1,0,0,2,1,0,0
1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,1,0,0,1,0,2,0
1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,3,0,0,0
1,1,0,1,0,1,3,1,1,0
1,1,0,2,0,0,3,0,0,0
1,1,1,0,0,0,1,0,0,0
1,1,1,0,0,0,3,0,0,0
1,1,0,0,0,0,2,0,1,0
1,1,0,0,0,0,2,1,1,0
1,1,0,2,0,0,1,0,0,0
1,1,0,0,0,1,2,0,0,0
1,1,0,1,0,0,1,0,0,0
1,1,1,2,0,0,1,0,0,0
1,1,0,1,0,0,3,1,0,0
1,1,0,0,0,1,3,0,0,0
1,1,0,1,0,0,2,2,0,0
1,1,0,0,0,0,3,0,0,0
1,1,0,0,0,0,4,2,1,0
0,0,1,3,1,1,7,5,9,1
1,1,0,0,0,0,2,0,0,0
0,1,1,5,4,1,6,4,10,1
0,1,1,3,2,0,6,4,8,1
1,1,0,2,0,1,3,2,0,0
1,1,1,0,0,1,2,1,0,0
1,1,0,0,0,0,3,0,1,0
1,1,0,0,0,0,3,0,0,0
1,1,0,0,0,1,4,0,0,0
0,1,1,4,3,0,7,2,5,1
1,1,0,1,0,0,4,0,0,0
1,1,0,0,0,0,2,1,0,0
1,1,0,2,0,1,2,0,0,0
1,0,0,2,0,1,3,0,0,0
1,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,3,0,0,0
0,0,0,6,4,1,4,6,11,1
1,1,0,1,0,0,3,0,0,0
1,1,0,0,0,0,2,1,0,0
1,1,0,0,0,0,2,0,0,0
1,1,0,1,0,1,1,0,1,0
0,1,0,0,0,0,1,0,0,0
0,0,1,2,2,1,8,2,3,1
1,0,0,0,0,0,2,0,1,0
1,1,0,1,0,1,1,0,1,0
1,1,0,1,0,0,2,0,0,0
1,1,1,0,0,1,1,1,1,0
1,1,0,0,0,0,1,0,1,0
1,0,0,5,5,0,6,4,10,1
0,1,0,1,0,0,2,1,1,0
1,1,0,0,0,1,3,0,0,0
0,0,0,2,1,1,6,4,4,1
1,1,0,0,0,0,2,1,1,0
1,1,0,0,0,0,2,0,0,0
1,1,0,1,0,0,3,1,0,0
1,0,0,0,0,0,3,0,0,0
1,1,0,0,0,0,1,1,0,0
1,0,1,3,1,1,7,6,6,1
1,1,0,0,0,1,2,0,0,0
